"X" "XY" "X_XY" "Y" "ID"
"164" 3616 3023 3616 6100 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"165" 3797 3071 3797 6118 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"166" 3600 3018 3600 6098 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"167" 3617 3023 3617 6100 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"168" 3806 3079 3806 6118 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"169" 3601 3019 3601 6099 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"170" 3623 3027 3623 6102 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"171" 3871 3119 3871 6136 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"172" 3600 3018 3600 6099 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"173" 3616 3023 3616 6100 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"174" 3797 3071 3797 6118 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"175" 3600 3018 3600 6099 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"176" 3616 3025 3616 6100 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"177" 3805 3080 3805 6118 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
