"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-10_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-10_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-10_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-04 58903
"1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-13_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 12996
"1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-12_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 13296
"1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-11_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 20309
"1e-10_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-10_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-10_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-04 39713
"1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-13_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 48644
"1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-12_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 33931
"1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-11_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 95005
"1e-10_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-10_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-10_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-04 40794
"1e-13_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 1 0 0 1e-04 1 "1e-13_1_1_1_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 366032
"1e-12_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 1 0 0 1e-04 1 "1e-12_1_1_1_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 108410102
"1e-11_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 1 0 0 1e-04 1 "1e-11_1_1_1_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_1_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 232779
"1e-13_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 1.05 0 0 1e-04 1 "1e-13_1_1_1.05_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 140364
"1e-12_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 1.05 0 0 1e-04 1 "1e-12_1_1_1.05_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 130899
"1e-11_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 1.05 0 0 1e-04 1 "1e-11_1_1_1.05_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_1.05_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 1158222
