"X" "XY" "X_XY" "Y" "ID"
"134" 8166 8941 8941 108846 "1e-12_1_1_0.95_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"135" 8460 13067 13067 108173 "1e-11_1_1_0.95_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"136" 23501 15249 23501 23501 "1e-13_1_1_0.975_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"137" 25000 16290 25000 23471 "1e-12_1_1_0.975_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"138" 107212 20660 107212 19298 "1e-11_1_1_0.975_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"139" 23471 16290 23471 25000 "1e-13_1_1_0.975_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"140" 24900 16963 24900 24900 "1e-12_1_1_0.975_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"141" 106951 21310 106951 19470 "1e-11_1_1_0.975_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"142" 19298 20660 20660 107212 "1e-13_1_1_0.975_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"143" 19470 21310 21310 106951 "1e-12_1_1_0.975_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"144" 76590 41377 76590 76590 "1e-11_1_1_0.975_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"145" 3395 1936 3395 3395 "1e-13_1_1_0.85_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"146" 3429 2069 3429 3394 "1e-12_1_1_0.85_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"147" 3827 2293 3827 3379 "1e-11_1_1_0.85_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"148" 3394 2069 3394 3429 "1e-13_1_1_0.85_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"149" 3428 2123 3428 3428 "1e-12_1_1_0.85_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"150" 3825 2310 3825 3412 "1e-11_1_1_0.85_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"151" 3379 2293 3379 3827 "1e-13_1_1_0.85_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"152" 3412 2310 3412 3825 "1e-12_1_1_0.85_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"153" 3791 2462 3791 3791 "1e-11_1_1_0.85_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"154" 5161 2294 5161 3344 "1e-13_1_1_0.9_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"155" 5248 2457 5248 3340 "1e-12_1_1_0.9_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"156" 6338 2751 6338 3301 "1e-11_1_1_0.9_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"157" 5161 2454 5161 3368 "1e-13_1_1_0.9_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"158" 5248 2521 5248 3364 "1e-12_1_1_0.9_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"159" 6337 2769 6337 3321 "1e-11_1_1_0.9_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"160" 5154 2721 5154 3665 "1e-13_1_1_0.9_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"161" 5241 2743 5241 3658 "1e-12_1_1_0.9_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"162" 6322 2941 6322 3558 "1e-11_1_1_0.9_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"163" 10323 2433 10323 3205 "1e-13_1_1_0.95_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"164" 10691 2690 10691 3185 "1e-12_1_1_0.95_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"165" 16697 2811 16697 2856 "1e-11_1_1_0.95_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"166" 10323 2714 10323 3212 "1e-13_1_1_0.95_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"167" 10691 2791 10691 3191 "1e-12_1_1_0.95_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"168" 16696 2836 16696 2858 "1e-11_1_1_0.95_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"169" 10320 3131 10320 3323 "1e-13_1_1_0.95_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"170" 10687 3141 10687 3292 "1e-12_1_1_0.95_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"171" 16687 3088 16687 2877 "1e-11_1_1_0.95_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"172" 20390 2123 20390 2760 "1e-13_1_1_0.975_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"173" 21913 2370 21913 2724 "1e-12_1_1_0.975_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"174" 92759 2510 92759 2403 "1e-11_1_1_0.975_0_1e-06_1:1e-13_1_1_0.85_0_1e-06_1"
"175" 20390 2403 20390 2761 "1e-13_1_1_0.975_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"176" 21912 2475 21912 2725 "1e-12_1_1_0.975_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"177" 92758 2539 92758 2404 "1e-11_1_1_0.975_0_1e-06_1:1e-12_1_1_0.85_0_1e-06_1"
"178" 20388 2913 20388 2779 "1e-13_1_1_0.975_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"179" 21910 2907 21910 2742 "1e-12_1_1_0.975_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"180" 92750 2844 92750 2413 "1e-11_1_1_0.975_0_1e-06_1:1e-11_1_1_0.85_0_1e-06_1"
"181" 3344 2294 3344 5161 "1e-13_1_1_0.85_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"182" 3368 2454 3368 5161 "1e-12_1_1_0.85_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"183" 3665 2721 3665 5154 "1e-11_1_1_0.85_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"184" 3340 2457 3340 5248 "1e-13_1_1_0.85_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"185" 3364 2521 3364 5248 "1e-12_1_1_0.85_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"186" 3658 2743 3658 5241 "1e-11_1_1_0.85_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"187" 3301 2751 3301 6338 "1e-13_1_1_0.85_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
